method,threshold_pct,n_features,model,selected_features,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,delta_r2
mic,15,12,rf,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'gmean_Valence', 'std_fie']",0.9646540272595827,6.366751770063249,3.6172411294888036,0.8781063264996108,11.773515335487119,6.6337358115817535,0.867936710075315,12.113835980393128,7.099906190933091,0.09671731718426768
mic,20,16,lasso,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'gmean_Valence', 'std_fie', 'range_FusionHeat', 'entropy_atomic_mass', 'range_atomic_mass', 'wtd_gmean_Density']",0.5883968472480774,21.726375579833984,16.998117446899414,0.5789766907691956,21.881074905395508,17.058460235595703,0.5710844993591309,21.831146240234375,17.12537956237793,0.017312347888946533
mic,20,16,elastic_net,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'gmean_Valence', 'std_fie', 'range_FusionHeat', 'entropy_atomic_mass', 'range_atomic_mass', 'wtd_gmean_Density']",0.5884292721748352,21.725521087646484,16.998247146606445,0.5788668990135193,21.883928298950195,17.062654495239258,0.5709627866744995,21.83424186706543,17.128856658935547,0.017466485500335693
mic,20,16,lightgbm,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'gmean_Valence', 'std_fie', 'range_FusionHeat', 'entropy_atomic_mass', 'range_atomic_mass', 'wtd_gmean_Density']",0.9814459389010262,4.612829896927252,2.7455633176980494,0.9020540892483453,10.553796735988692,5.946633333238686,0.8869232083348146,11.209271075404569,6.486824257558873,0.09452273056621152
mic,20,16,rf,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'gmean_Valence', 'std_fie', 'range_FusionHeat', 'entropy_atomic_mass', 'range_atomic_mass', 'wtd_gmean_Density']",0.9824218813425643,4.489873906955305,2.6034349184464634,0.9030688437300324,10.49898385165119,5.82895849052724,0.8888285949479457,11.114429625546192,6.3845420125654195,0.0935932863946185
xi,10,8,lasso,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity']",0.5311557650566101,23.187944412231445,18.621692657470703,0.5167512893676758,23.442338943481445,18.880233764648438,0.5206083655357361,23.080001831054688,18.573911666870117,0.010547399520874023
xi,10,8,elastic_net,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity']",0.5310115814208984,23.191509246826172,18.62354850769043,0.5165603756904602,23.446969985961914,18.8806095123291,0.5202961564064026,23.08751678466797,18.59162712097168,0.01071542501449585
xi,10,8,lightgbm,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity']",0.8866662529688202,11.400596432280494,6.484306724872892,0.8268735260509437,14.031280702856835,8.153690903236505,0.8247241509867671,13.955701533946058,8.555500637100963,0.06194210198205308
xi,10,8,rf,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity']",0.8726730657424484,12.083926911357642,7.3030531894583115,0.8252175705935895,14.09822563140891,8.50335716885882,0.8214277704000249,14.086321411866772,8.806232549265737,0.0512452953424235
xi,15,12,lasso,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity', 'entropy_FusionHeat', 'std_ElectronAffinity', 'gmean_FusionHeat', 'gmean_ThermalConductivity']",0.5608214139938354,22.44236183166504,17.768754959106445,0.5479279160499573,22.673545837402344,17.934595108032227,0.5476982593536377,22.418407440185547,17.782695770263672,0.013123154640197754
xi,15,12,elastic_net,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity', 'entropy_FusionHeat', 'std_ElectronAffinity', 'gmean_FusionHeat', 'gmean_ThermalConductivity']",0.5607993006706238,22.44292640686035,17.76910400390625,0.5478776097297668,22.674806594848633,17.935848236083984,0.5476137399673462,22.420501708984375,17.784873962402344,0.013185560703277588
xi,15,12,lightgbm,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity', 'entropy_FusionHeat', 'std_ElectronAffinity', 'gmean_FusionHeat', 'gmean_ThermalConductivity']",0.8868634816220399,11.390672188893598,6.434019596075281,0.8321772644529314,13.814684438506651,8.046142413533408,0.8240779452259785,13.981403756915347,8.552269332078886,0.06278553639606133
xi,15,12,rf,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity', 'entropy_FusionHeat', 'std_ElectronAffinity', 'gmean_FusionHeat', 'gmean_ThermalConductivity']",0.8828387834882307,11.59150654660549,6.754728931076265,0.8289811303755096,13.945612285961909,8.192272774377017,0.8205747749473161,14.119924770727522,8.659837565952907,0.06226400854091463
xi,20,16,lasso,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity', 'entropy_FusionHeat', 'std_ElectronAffinity', 'gmean_FusionHeat', 'gmean_ThermalConductivity', 'gmean_ElectronAffinity', 'std_atomic_radius', 'mean_Density', 'std_Density']",0.5666086673736572,22.294004440307617,17.63823890686035,0.5526818037033081,22.55401611328125,17.7907657623291,0.5521610975265503,22.307533264160156,17.770309448242188,0.014447569847106934
xi,20,16,elastic_net,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity', 'entropy_FusionHeat', 'std_ElectronAffinity', 'gmean_FusionHeat', 'gmean_ThermalConductivity', 'gmean_ElectronAffinity', 'std_atomic_radius', 'mean_Density', 'std_Density']",0.5662387609481812,22.303516387939453,17.632246017456055,0.5520236492156982,22.570602416992188,17.797040939331055,0.5517529249191284,22.317697525024414,17.777624130249023,0.014485836029052734
xi,20,16,lightgbm,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity', 'entropy_FusionHeat', 'std_ElectronAffinity', 'gmean_FusionHeat', 'gmean_ThermalConductivity', 'gmean_ElectronAffinity', 'std_atomic_radius', 'mean_Density', 'std_Density']",0.8870992878983013,11.378795417933665,6.3544569955733055,0.8323158786785859,13.808978097969572,8.016868558163157,0.8257229074273845,13.915883557007232,8.491216966057571,0.06137638047091676
xi,20,16,rf,"['entropy_atomic_radius', 'entropy_fie', 'gmean_Density', 'entropy_atomic_mass', 'entropy_Density', 'std_fie', 'entropy_ElectronAffinity', 'std_ThermalConductivity', 'entropy_FusionHeat', 'std_ElectronAffinity', 'gmean_FusionHeat', 'gmean_ThermalConductivity', 'gmean_ElectronAffinity', 'std_atomic_radius', 'mean_Density', 'std_Density']",0.8836197050543182,11.552811183077313,6.742922215156028,0.8369940533826786,13.614989010985372,8.059336335327814,0.8270111370037625,13.864356119695666,8.495163612821221,0.056608568050555697
